Source,Id,g,Rep,TempLevel,SalinityLevel,pH_Level,Stress
pH,I2,0.002,2,20,20,5.5,pHSal
pH,I2,0.002,3,20,20,5.5,pHSal
pH,I2,0.003,1,20,20,7.2,Sal
pH,I2,0.003,2,20,20,7.2,Sal
pH,I2,0.003,3,20,20,7.2,Sal
pH,I2,0,3,38,20,5.5,pHSalTemp
pH,I2,0.003,1,38,20,7.2,SalTemp
pH,I2,0.002,2,38,20,7.2,SalTemp
pH,I2,0.002,3,38,20,7.2,SalTemp
pH,I8,0.003,1,20,0,5.5,pH
pH,I8,0.003,2,20,0,5.5,pH
pH,I8,0.003,3,20,0,5.5,pH
pH,I8,0.003,1,20,0,7.2,Control
pH,I8,0.003,2,20,0,7.2,Control
pH,I8,0.003,3,20,0,7.2,Control
pH,I8,0,2,38,0,5.5,pHTemp
pH,I8,0.002,1,38,0,7.2,Temp
pH,I8,0.002,2,38,0,7.2,Temp
pH,I8,0.002,3,38,0,7.2,Temp
pH,I8,0.001,1,20,20,5.5,pHSal
pH,I8,0.001,2,20,20,5.5,pHSal
pH,I8,0.001,3,20,20,5.5,pHSal
pH,I8,0.002,1,20,20,7.2,Sal
pH,I8,0.002,2,20,20,7.2,Sal
pH,I8,0.002,3,20,20,7.2,Sal
pH,I8,0.002,1,38,20,5.5,pHSalTemp
pH,I8,0.002,2,38,20,5.5,pHSalTemp
pH,I8,0.002,3,38,20,5.5,pHSalTemp
pH,I8,0.002,1,38,20,7.2,SalTemp
pH,I8,0.002,2,38,20,7.2,SalTemp
pH,I8,0.002,3,38,20,7.2,SalTemp
pH,I18,0.001,1,20,0,5.5,pH
pH,I18,0,2,20,0,5.5,pH
pH,I18,0.001,3,20,0,5.5,pH
pH,I18,0.002,1,20,0,7.2,Control
pH,I18,0.002,2,20,0,7.2,Control
pH,I18,0.002,3,20,0,7.2,Control
pH,I18,0.003,1,38,0,7.2,Temp
pH,I18,0.002,2,38,0,7.2,Temp
pH,I18,0.002,1,20,20,5.5,pHSal
pH,I18,0.002,2,20,20,5.5,pHSal
pH,I18,0.002,3,20,20,5.5,pHSal
pH,I18,0.002,1,20,20,7.2,Sal
pH,I18,0.003,2,20,20,7.2,Sal
pH,I18,0.003,3,20,20,7.2,Sal
pH,I18,0.004,1,38,20,7.2,SalTemp
pH,I18,0.003,2,38,20,7.2,SalTemp
pH,I18,0.003,3,38,20,7.2,SalTemp
pH,I23,0.003,1,20,0,5.5,pH
pH,I23,0.003,2,20,0,5.5,pH
pH,I23,0.003,3,20,0,5.5,pH
pH,I23,0.002,1,20,0,7.2,Control
pH,I23,0.002,2,20,0,7.2,Control
pH,I23,0.002,3,20,0,7.2,Control
pH,I23,0.001,1,20,20,5.5,pHSal
pH,I23,0.001,2,20,20,5.5,pHSal
pH,I23,0.001,3,20,20,5.5,pHSal
pH,I23,0.001,1,20,20,7.2,Sal
pH,I23,0.001,2,20,20,7.2,Sal
pH,I23,0.001,3,20,20,7.2,Sal
pH,D11,0.002,1,20,0,5.5,pH
pH,D11,0.002,2,20,0,5.5,pH
pH,D11,0.002,3,20,0,5.5,pH
pH,D11,0.002,1,20,0,7.2,Control
pH,D11,0.002,2,20,0,7.2,Control
pH,D11,0.001,3,20,0,7.2,Control
pH,D11,0.002,1,38,0,5.5,pHTemp
pH,D11,0.002,2,38,0,5.5,pHTemp
pH,D11,0.002,3,38,0,5.5,pHTemp
pH,D11,0.003,1,38,0,7.2,Temp
pH,D11,0.002,2,38,0,7.2,Temp
pH,D11,0.002,3,38,0,7.2,Temp
pH,D11,0.001,1,20,20,5.5,pHSal
pH,D11,0.001,2,20,20,5.5,pHSal
pH,D11,0.001,3,20,20,5.5,pHSal
pH,D11,0.001,1,20,20,7.2,Sal
pH,D11,0.001,2,20,20,7.2,Sal
pH,D11,0.001,3,20,20,7.2,Sal
pH,D14,0.001,1,20,0,5.5,pH
pH,D14,0.001,2,20,0,5.5,pH
pH,D14,0.001,3,20,0,5.5,pH
pH,D14,0.001,1,20,0,7.2,Control
pH,D14,0.001,2,20,0,7.2,Control
pH,D14,0.001,3,20,0,7.2,Control
pH,D14,0.003,1,38,0,7.2,Temp
pH,D14,0.003,2,38,0,7.2,Temp
pH,D14,0.003,3,38,0,7.2,Temp
pH,D14,0,1,20,20,7.2,Sal
pH,D14,0,2,20,20,7.2,Sal
pH,D14,0,3,20,20,7.2,Sal
pH,D14,0.001,1,38,20,7.2,SalTemp
pH,D14,0.001,3,38,20,7.2,SalTemp
pH,I18,0,1,38,0,5.5,pHTemp
pH,I18,0,2,38,0,5.5,pHTemp
pH,I18,0,3,38,0,5.5,pHTemp
pH,I22,0,1,38,0,5.5,pHTemp
pH,I22,0,2,38,0,5.5,pHTemp
pH,I22,0,3,38,0,5.5,pHTemp
pH,I22,0,1,38,0,7.2,Temp
pH,I22,0,2,38,0,7.2,Temp
pH,I22,0,3,38,0,7.2,Temp
pH,I23,0,2,38,0,5.5,pHTemp
pH,I23,0,3,38,0,5.5,pHTemp
pH,I23,0,1,38,0,7.2,Temp
pH,I23,0,2,38,0,7.2,Temp
pH,I23,0,3,38,0,7.2,Temp
pH,I23,0,1,38,20,5.5,pHSalTemp
pH,I23,0,2,38,20,5.5,pHSalTemp
pH,I23,0,3,38,20,5.5,pHSalTemp
pH,I23,0,1,38,20,7.2,SalTemp
pH,I23,0,2,38,20,7.2,SalTemp
pH,I23,0,3,38,20,7.2,SalTemp
pH,I2,0,1,38,0,5.5,pHTemp
pH,I2,0,2,38,0,5.5,pHTemp
pH,I2,0,3,38,0,5.5,pHTemp
pH,I2,0,1,38,20,5.5,pHSalTemp
pH,I2,0,2,38,20,5.5,pHSalTemp
pH,I8,0,1,38,0,5.5,pHTemp
pH,D11,0,1,38,20,5.5,pHSalTemp
pH,D11,0,2,38,20,5.5,pHSalTemp
pH,D11,0,3,38,20,5.5,pHSalTemp
pH,D11,0,1,38,20,7.2,SalTemp
pH,D11,0,2,38,20,7.2,SalTemp
pH,D11,0,3,38,20,7.2,SalTemp
pH,D14,0,1,38,0,5.5,pHTemp
pH,D14,0,2,38,0,5.5,pHTemp
pH,D14,0,3,38,0,5.5,pHTemp
pH,D14,0,1,20,20,5.5,pHSal
pH,D14,0,2,20,20,5.5,pHSal
pH,D14,0,3,20,20,5.5,pHSal
pH,D14,0,1,38,20,5.5,pHSalTemp
pH,D14,0,2,38,20,5.5,pHSalTemp
pH,D14,0,3,38,20,5.5,pHSalTemp
Sal,I9,0.003,1,20,0,7.2,Control
Sal,I9,0.002,2,20,0,7.2,Control
Sal,I9,0.002,3,20,0,7.2,Control
Sal,I9,0.002,1,20,20,7.2,Sal
Sal,I9,0.002,2,20,20,7.2,Sal
Sal,I9,0.002,3,20,20,7.2,Sal
Sal,I9,0.006,1,38,0,7.2,Temp
Sal,I9,0.006,2,38,0,7.2,Temp
Sal,I9,0.005,3,38,0,7.2,Temp
Sal,I9,0.004,1,38,20,7.2,SalTemp
Sal,I9,0.006,2,38,20,7.2,SalTemp
Sal,I9,0.005,3,38,20,7.2,SalTemp
Sal,I9,0.003,1,20,0,5.5,pH
Sal,I9,0.003,2,20,0,5.5,pH
Sal,I9,0.003,3,20,0,5.5,pH
Sal,I9,0.001,1,20,20,5.5,pHSal
Sal,I9,0.002,2,20,20,5.5,pHSal
Sal,I9,0.001,3,20,20,5.5,pHSal
Sal,I9,0.007,1,38,0,5.5,pHTemp
Sal,I9,0.006,2,38,0,5.5,pHTemp
Sal,I9,0.006,3,38,0,5.5,pHTemp
Sal,I9,0.005,1,38,20,5.5,pHSalTemp
Sal,I9,0.006,2,38,20,5.5,pHSalTemp
Sal,I9,0.004,3,38,20,5.5,pHSalTemp
Sal,I11,0.002,1,20,0,7.2,Control
Sal,I11,0.002,2,20,0,7.2,Control
Sal,I11,0.002,3,20,0,7.2,Control
Sal,I11,0.002,1,20,20,7.2,Sal
Sal,I11,0.002,2,20,20,7.2,Sal
Sal,I11,0.002,3,20,20,7.2,Sal
Sal,I11,0.002,1,38,0,7.2,Temp
Sal,I11,0.002,2,38,0,7.2,Temp
Sal,I11,0.002,3,38,0,7.2,Temp
Sal,I11,0.002,1,38,20,7.2,SalTemp
Sal,I11,0.002,2,38,20,7.2,SalTemp
Sal,I11,0.002,3,38,20,7.2,SalTemp
Sal,I11,0.001,1,20,0,5.5,pH
Sal,I11,0.001,2,20,0,5.5,pH
Sal,I11,0.001,3,20,0,5.5,pH
Sal,I11,0.001,1,20,20,5.5,pHSal
Sal,I11,0.001,2,20,20,5.5,pHSal
Sal,I11,0.001,3,20,20,5.5,pHSal
Sal,I11,0.001,2,38,0,5.5,pHTemp
Sal,I11,0.001,3,38,0,5.5,pHTemp
Sal,I11,0.001,1,38,20,5.5,pHSalTemp
Sal,I11,0.002,2,38,20,5.5,pHSalTemp
Sal,I15,0.003,1,20,0,7.2,Control
Sal,I15,0.002,2,20,0,7.2,Control
Sal,I15,0.002,3,20,0,7.2,Control
Sal,I15,0.003,1,20,20,7.2,Sal
Sal,I15,0.003,2,20,20,7.2,Sal
Sal,I15,0.003,3,20,20,7.2,Sal
Sal,I15,0.002,1,38,0,7.2,Temp
Sal,I15,0.002,2,38,0,7.2,Temp
Sal,I15,0.002,3,38,0,7.2,Temp
Sal,I15,0.003,1,38,20,7.2,SalTemp
Sal,I15,0.004,2,38,20,7.2,SalTemp
Sal,I15,0.003,3,38,20,7.2,SalTemp
Sal,I15,0.002,1,20,0,5.5,pH
Sal,I15,0.002,2,20,0,5.5,pH
Sal,I15,0.002,3,20,0,5.5,pH
Sal,I15,0.002,1,20,20,5.5,pHSal
Sal,I15,0.003,2,20,20,5.5,pHSal
Sal,I15,0.003,3,20,20,5.5,pHSal
Sal,I15,0.002,1,38,0,5.5,pHTemp
Sal,I15,0.002,2,38,0,5.5,pHTemp
Sal,I15,0.002,3,38,0,5.5,pHTemp
Sal,I15,0.003,1,38,20,5.5,pHSalTemp
Sal,I15,0.003,2,38,20,5.5,pHSalTemp
Sal,I15,0.003,3,38,20,5.5,pHSalTemp
Sal,I20,0.003,1,20,0,7.2,Control
Sal,I20,0.002,2,20,0,7.2,Control
Sal,I20,0.003,3,20,0,7.2,Control
Sal,I20,0.002,1,20,20,7.2,Sal
Sal,I20,0.002,2,20,20,7.2,Sal
Sal,I20,0.002,3,20,20,7.2,Sal
Sal,I20,0.004,1,38,0,7.2,Temp
Sal,I20,0.004,2,38,0,7.2,Temp
Sal,I20,0.003,3,38,0,7.2,Temp
Sal,I20,0.002,1,38,20,7.2,SalTemp
Sal,I20,0.002,2,38,20,7.2,SalTemp
Sal,I20,0.002,3,38,20,7.2,SalTemp
Sal,I20,0.003,1,20,0,5.5,pH
Sal,I20,0.003,2,20,0,5.5,pH
Sal,I20,0.003,3,20,0,5.5,pH
Sal,I20,0.002,1,20,20,5.5,pHSal
Sal,I20,0.002,2,20,20,5.5,pHSal
Sal,I20,0.002,3,20,20,5.5,pHSal
Sal,I20,0.004,1,38,0,5.5,pHTemp
Sal,I20,0.004,2,38,0,5.5,pHTemp
Sal,I20,0.003,3,38,0,5.5,pHTemp
Sal,I20,0.003,1,38,20,5.5,pHSalTemp
Sal,I20,0.003,2,38,20,5.5,pHSalTemp
Sal,I20,0.003,3,38,20,5.5,pHSalTemp
Sal,I22,0.003,1,20,0,7.2,Control
Sal,I22,0.003,2,20,0,7.2,Control
Sal,I22,0.003,3,20,0,7.2,Control
Sal,I22,0.003,1,38,20,7.2,SalTemp
Sal,I22,0.002,2,38,20,7.2,SalTemp
Sal,I22,0.002,3,38,20,7.2,SalTemp
Sal,I22,0.003,1,20,20,5.5,pHSal
Sal,I22,0.003,2,20,20,5.5,pHSal
Sal,I22,0.004,3,20,20,5.5,pHSal
Sal,I22,0.003,1,38,20,5.5,pHSalTemp
Sal,I22,0.003,2,38,20,5.5,pHSalTemp
Sal,I22,0.002,3,38,20,5.5,pHSalTemp
Sal,D17,0.002,1,20,0,7.2,Control
Sal,D17,0.002,2,20,0,7.2,Control
Sal,D17,0.002,3,20,0,7.2,Control
Sal,D17,0.001,1,20,20,7.2,Sal
Sal,D17,0.002,2,20,20,7.2,Sal
Sal,D17,0.001,3,20,20,7.2,Sal
Sal,D17,0.002,1,38,0,7.2,Temp
Sal,D17,0.002,2,38,0,7.2,Temp
Sal,D17,0.002,3,38,0,7.2,Temp
Sal,D17,0.002,1,38,20,7.2,SalTemp
Sal,D17,0.002,2,38,20,7.2,SalTemp
Sal,D17,0.002,3,38,20,7.2,SalTemp
Sal,D17,0.002,1,20,0,5.5,pH
Sal,D17,0.002,2,20,0,5.5,pH
Sal,D17,0.002,3,20,0,5.5,pH
Sal,D17,0.002,1,20,20,5.5,pHSal
Sal,D17,0.002,2,20,20,5.5,pHSal
Sal,D17,0.002,3,20,20,5.5,pHSal
Sal,D17,0.002,1,38,0,5.5,pHTemp
Sal,D17,0.002,2,38,0,5.5,pHTemp
Sal,D17,0.002,3,38,0,5.5,pHTemp
Sal,D17,0.001,1,38,20,5.5,pHSalTemp
Sal,D17,0.002,2,38,20,5.5,pHSalTemp
Sal,D17,0.002,3,38,20,5.5,pHSalTemp
Sal,I2,0.002,1,20,0,7.2,Control
Sal,I2,0.002,2,20,0,7.2,Control
Sal,I2,0.002,3,20,0,7.2,Control
Sal,I2,0.003,1,20,20,7.2,Sal
Sal,I2,0.003,2,20,20,7.2,Sal
Sal,I2,0.003,3,20,20,7.2,Sal
Sal,I2,0.002,1,38,20,7.2,SalTemp
Sal,I2,0.002,2,38,20,7.2,SalTemp
Sal,I2,0.002,3,38,20,7.2,SalTemp
Sal,I2,0.002,1,20,0,5.5,pH
Sal,I2,0.002,2,20,0,5.5,pH
Sal,I2,0.002,3,20,0,5.5,pH
Sal,I2,0.002,1,20,20,5.5,pHSal
Sal,I2,0.002,2,20,20,5.5,pHSal
Sal,I2,0.002,3,20,20,5.5,pHSal
Sal,I8,0.003,1,20,0,7.2,Control
Sal,I8,0.003,2,20,0,7.2,Control
Sal,I8,0.003,3,20,0,7.2,Control
Sal,I8,0.001,1,20,20,7.2,Sal
Sal,I8,0.001,2,20,20,7.2,Sal
Sal,I8,0.001,3,20,20,7.2,Sal
Sal,I8,0.003,1,38,0,7.2,Temp
Sal,I8,0.003,2,38,0,7.2,Temp
Sal,I8,0.002,3,38,0,7.2,Temp
Sal,I8,0.001,1,38,20,7.2,SalTemp
Sal,I8,0.001,2,38,20,7.2,SalTemp
Sal,I8,0.001,3,38,20,7.2,SalTemp
Sal,I8,0.003,1,20,0,5.5,pH
Sal,I8,0.003,2,20,0,5.5,pH
Sal,I8,0.003,3,20,0,5.5,pH
Sal,I8,0.001,1,20,20,5.5,pHSal
Sal,I8,0.001,2,20,20,5.5,pHSal
Sal,I8,0.001,3,20,20,5.5,pHSal
Sal,I8,0,2,38,0,5.5,pHTemp
Sal,I8,0.001,1,38,20,5.5,pHSalTemp
Sal,I8,0.002,2,38,20,5.5,pHSalTemp
Sal,I8,0.002,3,38,20,5.5,pHSalTemp
Sal,I18,0.003,1,20,0,7.2,Control
Sal,I18,0.003,2,20,0,7.2,Control
Sal,I18,0.003,3,20,0,7.2,Control
Sal,I18,0.003,1,20,20,7.2,Sal
Sal,I18,0.004,2,20,20,7.2,Sal
Sal,I18,0.004,3,20,20,7.2,Sal
Sal,I18,0.007,1,38,20,7.2,SalTemp
Sal,I18,0.011,3,38,20,7.2,SalTemp
Sal,I18,0.001,1,20,0,5.5,pH
Sal,I18,0.001,2,20,0,5.5,pH
Sal,I18,0,3,20,0,5.5,pH
Sal,I18,0.001,1,20,20,5.5,pHSal
Sal,I18,0.001,2,20,20,5.5,pHSal
Sal,I18,0.001,3,20,20,5.5,pHSal
Sal,I23,0.003,1,20,0,7.2,Control
Sal,I23,0.003,2,20,0,7.2,Control
Sal,I23,0.003,3,20,0,7.2,Control
Sal,I23,0.001,1,20,20,7.2,Sal
Sal,I23,0,2,20,20,7.2,Sal
Sal,I23,0.001,3,20,20,7.2,Sal
Sal,I23,0,2,38,0,7.2,Temp
Sal,I23,0,3,38,0,7.2,Temp
Sal,I23,0.003,1,20,0,5.5,pH
Sal,I23,0.003,2,20,0,5.5,pH
Sal,I23,0.003,3,20,0,5.5,pH
Sal,I23,0.001,1,20,20,5.5,pHSal
Sal,I23,0.001,2,20,20,5.5,pHSal
Sal,I23,0.001,3,20,20,5.5,pHSal
Sal,I23,0.001,1,38,0,5.5,pHTemp
Sal,I23,0.001,2,38,0,5.5,pHTemp
Sal,I23,0.001,3,38,0,5.5,pHTemp
Sal,D11,0.002,1,20,0,7.2,Control
Sal,D11,0.002,2,20,0,7.2,Control
Sal,D11,0.002,3,20,0,7.2,Control
Sal,D11,0.002,1,20,20,7.2,Sal
Sal,D11,0.002,2,20,20,7.2,Sal
Sal,D11,0.002,3,20,20,7.2,Sal
Sal,D11,0.002,1,38,0,7.2,Temp
Sal,D11,0.002,2,38,0,7.2,Temp
Sal,D11,0.002,3,38,0,7.2,Temp
Sal,D11,0.002,1,20,0,5.5,pH
Sal,D11,0.002,2,20,0,5.5,pH
Sal,D11,0.002,3,20,0,5.5,pH
Sal,D11,0.001,1,20,20,5.5,pHSal
Sal,D11,0.001,2,20,20,5.5,pHSal
Sal,D11,0.001,3,20,20,5.5,pHSal
Sal,D11,0.002,1,38,0,5.5,pHTemp
Sal,D11,0.001,2,38,0,5.5,pHTemp
Sal,D11,0.002,3,38,0,5.5,pHTemp
Sal,D11,0.001,1,38,20,5.5,pHSalTemp
Sal,D11,0.001,2,38,20,5.5,pHSalTemp
Sal,D14,0.002,1,20,0,7.2,Control
Sal,D14,0.002,2,20,0,7.2,Control
Sal,D14,0.002,3,20,0,7.2,Control
Sal,D14,0,1,20,20,7.2,Sal
Sal,D14,0,2,20,20,7.2,Sal
Sal,D14,0,3,20,20,7.2,Sal
Sal,D14,0.003,1,38,0,7.2,Temp
Sal,D14,0.002,2,38,0,7.2,Temp
Sal,D14,0.002,3,38,0,7.2,Temp
Sal,D14,0.001,1,38,20,7.2,SalTemp
Sal,D14,0,2,38,20,7.2,SalTemp
Sal,D14,0.001,3,38,20,7.2,SalTemp
Sal,D14,0.001,2,20,0,5.5,pH
Sal,D14,0.001,3,20,0,5.5,pH
Sal,D14,0,1,20,20,5.5,pHSal
Sal,D14,0,2,20,20,5.5,pHSal
Sal,D14,0,3,20,20,5.5,pHSal
Sal,D14,0.001,1,38,0,5.5,pHTemp
Sal,D14,0,3,38,20,5.5,pHSalTemp
Sal,D14,0.001,1,20,0,5.5,pH
Sal,I22,0,1,38,0,5.5,pHTemp
Sal,I22,0,2,38,0,5.5,pHTemp
Sal,I22,0,3,38,0,5.5,pHTemp
Sal,I22,0,1,38,0,7.2,Temp
Sal,I22,0,2,38,0,7.2,Temp
Sal,I22,0,3,38,0,7.2,Temp
Sal,I23,0,1,38,20,7.2,SalTemp
Sal,I23,0,2,38,20,7.2,SalTemp
Sal,I23,0,3,38,20,7.2,SalTemp
Sal,I23,0,1,38,20,5.5,pHSalTemp
Sal,I23,0,2,38,20,5.5,pHSalTemp
Sal,I23,0,3,38,20,5.5,pHSalTemp
Sal,D11,0,3,38,20,5.5,pHSalTemp
Sal,D11,0,1,38,20,7.2,SalTemp
Sal,D11,0,2,38,20,7.2,SalTemp
Sal,D11,0,3,38,20,7.2,SalTemp
Sal,D14,0,1,38,20,5.5,pHSalTemp
Sal,D14,0,2,38,20,5.5,pHSalTemp
Sal,D14,0,2,38,0,5.5,pHTemp
Sal,D14,0,3,38,0,5.5,pHTemp
Sal,I2,0,1,38,0,5.5,pHTemp
Sal,I2,0,2,38,0,5.5,pHTemp
Sal,I2,0,3,38,0,5.5,pHTemp
Sal,I2,0,1,38,20,5.5,pHSalTemp
Sal,I2,0,2,38,20,5.5,pHSalTemp
Sal,I2,0,3,38,20,5.5,pHSalTemp
Sal,I2,0,1,38,0,7.2,Temp
Sal,I2,0,2,38,0,7.2,Temp
Sal,I2,0,3,38,0,7.2,Temp
Sal,I8,0,1,38,0,5.5,pHTemp
Sal,I8,0,3,38,0,5.5,pHTemp
Sal,I18,0,1,38,0,7.2,Temp
Sal,I18,0,2,38,0,7.2,Temp
Sal,I18,0,3,38,0,7.2,Temp
Sal,I18,0,1,38,0,5.5,pHTemp
Sal,I18,0,2,38,0,5.5,pHTemp
Sal,I18,0,3,38,0,5.5,pHTemp
Sal,I18,0,1,38,20,5.5,pHSalTemp
Sal,I18,0,2,38,20,5.5,pHSalTemp
Sal,I18,0,3,38,20,5.5,pHSalTemp
Sal,I22,0.002,1,20,0,5.5,pH
Sal,I22,0.002,2,20,0,5.5,pH
Sal,I22,0.003,3,20,0,5.5,pH
